observer_alt_km,target_alt_km,visibility_km,range_km,path_radiance_band,tau_up_band,source_case_id,MODOUT2_parser_column_mapping,path_radiance_spectral_min,path_radiance_spectral_max,path_radiance_spectral_mean,path_radiance_spectral_rectangular_average,diagnosis
3,3,2,1,2.562301659e-08,0.7204652336,MWIR_thermal_obs3_tar3_rng1_vis2_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",4.3632e-11,2.8978e-07,1.914247026e-08,2.562301659e-08,RAW_MODTRAN_TREND
3,3,2,2,7.838221829e-09,0.6960838391,MWIR_thermal_obs3_tar3_rng2_vis2_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",1.5025e-13,9.0678e-08,6.320313397e-09,7.838221829e-09,RAW_MODTRAN_TREND
5,5,2,1,1.169257557e-08,0.7894240366,MWIR_thermal_obs5_tar5_rng1_vis2_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",7.2354e-12,1.3799e-07,8.897300231e-09,1.169257557e-08,RAW_MODTRAN_TREND
5,5,2,2,3.953775488e-09,0.7824045258,MWIR_thermal_obs5_tar5_rng2_vis2_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",3.1061e-15,5.2066e-08,3.206048829e-09,3.953775488e-09,RAW_MODTRAN_TREND
3,3,5,1,2.562301659e-08,0.7204652336,MWIR_thermal_obs3_tar3_rng1_vis5_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",4.3632e-11,2.8978e-07,1.914247026e-08,2.562301659e-08,RAW_MODTRAN_TREND
3,3,5,2,7.838221829e-09,0.6960838391,MWIR_thermal_obs3_tar3_rng2_vis5_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",1.5025e-13,9.0678e-08,6.320313397e-09,7.838221829e-09,RAW_MODTRAN_TREND
5,5,5,1,1.169257557e-08,0.7894240366,MWIR_thermal_obs5_tar5_rng1_vis5_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",7.2354e-12,1.3799e-07,8.897300231e-09,1.169257557e-08,RAW_MODTRAN_TREND
5,5,5,2,3.953775488e-09,0.7824045258,MWIR_thermal_obs5_tar5_rng2_vis5_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",3.1061e-15,5.2066e-08,3.206048829e-09,3.953775488e-09,RAW_MODTRAN_TREND
3,3,10,1,2.562301659e-08,0.7204652336,MWIR_thermal_obs3_tar3_rng1_vis10_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",4.3632e-11,2.8978e-07,1.914247026e-08,2.562301659e-08,RAW_MODTRAN_TREND
3,3,10,2,7.838221829e-09,0.6960838391,MWIR_thermal_obs3_tar3_rng2_vis10_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",1.5025e-13,9.0678e-08,6.320313397e-09,7.838221829e-09,RAW_MODTRAN_TREND
5,5,10,1,1.169257557e-08,0.7894240366,MWIR_thermal_obs5_tar5_rng1_vis10_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",7.2354e-12,1.3799e-07,8.897300231e-09,1.169257557e-08,RAW_MODTRAN_TREND
5,5,10,2,3.953775488e-09,0.7824045258,MWIR_thermal_obs5_tar5_rng2_vis10_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",3.1061e-15,5.2066e-08,3.206048829e-09,3.953775488e-09,RAW_MODTRAN_TREND
3,3,23,1,2.562301659e-08,0.7204652336,MWIR_thermal_obs3_tar3_rng1_vis23_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",4.3632e-11,2.8978e-07,1.914247026e-08,2.562301659e-08,RAW_MODTRAN_TREND
3,3,23,2,7.838221829e-09,0.6960838391,MWIR_thermal_obs3_tar3_rng2_vis23_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",1.5025e-13,9.0678e-08,6.320313397e-09,7.838221829e-09,RAW_MODTRAN_TREND
5,5,23,1,1.169257557e-08,0.7894240366,MWIR_thermal_obs5_tar5_rng1_vis23_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",7.2354e-12,1.3799e-07,8.897300231e-09,1.169257557e-08,RAW_MODTRAN_TREND
5,5,23,2,3.953775488e-09,0.7824045258,MWIR_thermal_obs5_tar5_rng2_vis23_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",3.1061e-15,5.2066e-08,3.206048829e-09,3.953775488e-09,RAW_MODTRAN_TREND
3,3,50,1,2.561044619e-08,0.7206900403,MWIR_thermal_obs3_tar3_rng1_vis50_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",3.957e-11,2.8977e-07,1.913287302e-08,2.561044619e-08,RAW_MODTRAN_TREND
3,3,50,2,7.837048082e-09,0.6965172937,MWIR_thermal_obs3_tar3_rng2_vis50_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",1.356e-13,9.0678e-08,6.319426088e-09,7.837048082e-09,RAW_MODTRAN_TREND
5,5,50,1,1.169257545e-08,0.7894240366,MWIR_thermal_obs5_tar5_rng1_vis50_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",7.2354e-12,1.3799e-07,8.897300149e-09,1.169257545e-08,RAW_MODTRAN_TREND
5,5,50,2,3.953775796e-09,0.7824045258,MWIR_thermal_obs5_tar5_rng2_vis50_aerRural_humdefault,"FREQ,TOT_TRANS,PTH_THRML",3.1061e-15,5.2066e-08,3.206049095e-09,3.953775796e-09,RAW_MODTRAN_TREND
