Latitude, N12:48:00
Longitude, E45:01:00
Date, 2015/6/1
Sunrise, 5:37
Sunset, 18:19
MaximumSolarRadiation, 1032.65
MinTemperatureC, MaxTemperatureC, InsideAirTemperatureC, MeanEarthTemperatureC
29.4445, 36.1111, 20, 20
Time, TemperatureC, SunAzimuth, SunElevation
0, 30.5556, -0.990457, -55.2348
1, 30.1615, -23.9146, -52.0126
2, 29.8504, -41.0753, -44.0638
3, 29.6257, -52.4855, -33.35
4, 29.4899, -60.0287, -21.1588
5, 29.4445, -65.1351, -8.15947
6, 29.6297, -68.6144, 5.30183
7, 30.1814, -70.8514, 19.0307
8, 31.0871, -71.8989, 32.8995
9, 32.3113, -71.3648, 46.7936
10, 33.4566, -67.7027, 60.5282
11, 34.4039, -54.1358, 73.4624
12, 35.1472, 3.40725, 80.7527
13, 35.6816, 55.9956, 72.5126
14, 36.0036, 68.1459, 59.4562
15, 36.1111, 71.4375, 45.6999
16, 36.0036, 71.8106, 31.8067
17, 35.6816, 70.6571, 17.9505
18, 35.1472, 68.321, 4.2451
19, 34.4039, 64.7223, -9.17792
20, 33.6063, 59.448, -22.1149
21, 32.9079, 51.6484, -34.2006
22, 32.3119, 39.8475, -44.7274
23, 31.8207, 22.2046, -52.3491
24, 31.4364, -0.924993, -55.0987
